cityName,country,lat,lng,temp,humidity,cloudiness,winds
okato,nz,-39.19,173.88,53.99,100,80,7.29
dudinka,ru,69.41,86.18,41.66,99,8,8.63
ahipara,nz,-35.17,173.16,60.2,75,92,12.77
quatre cocos,mu,-20.21,57.76,73.4,83,40,3.36
new norfolk,au,-42.78,147.06,64.4,34,75,14.99
hilo,us,19.71,-155.08,71.22,67,1,3.36
vaini,to,15.34,74.49,86.03,72,0,3.49
tuktoyaktuk,ca,69.44,-133.03,26.6,92,75,12.75
saint george,bm,39.45,22.34,59.0,87,90,9.17
nyurba,ru,63.29,118.35,45.17,77,92,5.73
aswan,eg,24.09,32.9,84.2,37,0,9.17
sinegorskiy,ru,48.01,40.84,51.65,64,0,11.77
anchorage,us,61.22,-149.89,48.97,98,1,0.58
samarai,pg,-10.62,150.67,76.85,100,92,18.7
praia da vitoria,pt,38.73,-27.07,69.8,88,40,20.83
xining,cn,36.62,101.77,49.4,59,0,1.7
kawalu,id,-7.38,108.21,78.65,68,92,2.59
zhanaozen,kz,43.35,52.85,69.38,64,64,11.65
chipinge,zw,-20.19,32.62,65.33,74,0,4.72
si sa ket,th,15.12,104.33,84.2,74,75,5.82
poum,nc,41.28,20.71,48.2,81,40,3.36
nome,us,30.04,-94.42,74.59,84,1,4.7
abu dhabi,ae,24.47,54.37,85.93,70,8,3.83
umm lajj,sa,25.02,37.27,89.99,57,0,1.81
lensk,ru,60.71,114.91,41.57,98,92,9.75
sriperumbudur,in,12.97,79.95,89.6,62,40,6.93
san quintin,mx,17.54,120.52,86.0,66,75,6.93
thompson,ca,55.74,-97.86,32.0,86,90,9.17
poltavka,ru,54.36,71.76,49.22,67,0,13.44
noumea,nc,-22.28,166.46,77.0,73,90,8.05
oranjemund,na,-28.55,16.43,56.33,98,8,5.61
waki,jp,34.19,132.21,72.57,33,40,14.99
half moon bay,us,37.46,-122.43,64.8,82,40,2.59
cocobeach,ga,1.01,9.58,78.8,88,75,10.29
lata,sb,30.78,78.62,63.17,86,0,1.48
keroka,ke,-0.78,34.95,65.33,73,68,5.95
iqaluit,ca,63.75,-68.52,24.8,73,40,8.05
puteyets,ru,65.17,57.09,33.65,94,36,7.4
kabalo,cd,-6.05,26.92,82.52,41,100,8.97
atuona,pf,-9.8,-139.03,79.73,100,76,11.65
port hedland,au,-20.31,118.58,91.4,26,32,14.99
boden,se,65.83,21.69,32.0,97,0,1.12
dwarka,in,28.58,77.04,84.2,66,0,4.7
cidreira,br,-30.17,-50.22,69.02,85,0,6.17
iquique,cl,-20.22,-70.14,64.4,68,90,6.93
osa,ru,57.28,55.46,39.05,86,88,8.75
airai,pw,-8.93,125.41,84.95,29,8,1.92
severo-kurilsk,ru,50.68,156.12,51.29,96,92,8.63
meiktila,mm,20.88,95.86,86.93,84,64,5.5
ribas do rio pardo,br,-20.45,-53.76,64.97,96,0,5.39
maningrida,au,-12.05,134.23,86.57,52,0,19.04
sioux lookout,ca,50.1,-91.92,29.84,92,75,2.24
coahuayana,mx,18.62,-100.35,63.53,88,20,1.81
hinton,ca,53.4,-117.57,23.93,83,68,2.15
shetpe,kz,44.14,52.16,67.31,50,0,6.29
cabo san lucas,mx,22.89,-109.91,78.8,78,20,3.36
medea,dz,36.27,2.77,66.2,77,40,3.36
smirnykh,ru,49.74,142.83,50.39,55,12,6.96
svetlaya,ru,46.54,138.33,54.98,100,12,20.27
kayerkan,ru,69.35,87.76,40.31,100,68,8.75
clearwater,us,27.97,-82.8,79.34,83,90,6.93
sibolga,id,1.74,98.78,75.5,97,64,2.04
lebu,cl,8.96,38.73,65.51,46,0,3.94
slonim,by,53.09,25.32,39.95,85,8,12.1
motygino,ru,58.18,94.69,54.71,62,44,3.27
mar del plata,ar,-46.43,-67.52,30.41,89,0,13.22
torbay,ca,47.66,-52.73,46.4,87,90,12.75
beni,cd,0.49,29.47,70.64,93,8,3.94
homer,us,59.64,-151.54,45.14,92,90,5.39
vredendal,za,-31.68,18.49,54.8,73,0,2.71
novopokrovka,ru,45.85,134.51,59.75,54,0,7.96
bursa,tr,40.18,29.07,60.8,100,90,2.24
vardo,no,39.62,-77.74,61.5,81,1,4.7
ust-maya,ru,60.42,134.54,41.66,49,24,5.73
butembo,cd,0.12,29.29,68.3,85,36,3.04
srednekolymsk,ru,67.46,153.71,34.01,100,92,3.83
shubarkuduk,kz,49.15,56.49,53.18,79,0,9.08
pawayan,in,28.07,80.1,85.76,86,0,5.17
oeiras,br,-7.01,-42.13,85.13,34,64,11.77
oussouye,sn,12.49,-16.54,75.2,100,0,2.24
vila do maio,cv,15.13,-23.22,75.2,94,20,5.82
souillac,mu,45.6,-0.6,50.99,81,0,8.05
olutanga,ph,7.31,122.85,84.32,100,0,4.38
namibe,ao,-15.19,12.15,66.41,100,68,8.97
peterhead,gb,-34.83,138.5,71.6,21,0,9.17
arraial do cabo,br,-22.97,-42.02,73.07,96,64,17.25
labuan,my,5.28,115.24,84.22,83,90,6.93
klyuchi,ru,52.25,79.17,63.71,39,20,10.2
bria,cf,6.54,21.99,72.62,96,8,4.72
chunoyar,ru,57.45,97.32,56.96,53,24,3.49
najran,sa,17.54,44.22,71.6,24,0,3.6
tiznit,ma,29.7,-9.73,66.95,79,0,7.52
lishui,cn,28.45,119.91,76.13,23,8,3.15
dosso,ne,13.05,3.19,76.85,86,8,5.61
bubaque,gw,11.28,-15.83,73.4,94,20,2.24
colomi,bo,-17.34,-65.87,64.4,34,12,4.7
cukai,my,4.25,103.42,88.77,74,75,6.93
tuatapere,nz,-46.13,167.69,50.75,99,12,9.98
svetlogorsk,ru,53.14,59.15,39.2,77,20,2.24
arlit,ne,18.74,7.39,83.87,19,92,7.4
dembi dolo,et,8.53,34.8,64.16,99,88,4.16
meulaboh,id,4.14,96.13,78.38,100,76,2.26
port lincoln,au,-34.72,135.86,67.49,67,88,6.4
quelimane,mz,-17.88,36.89,73.4,73,75,4.7
andra,ru,62.52,65.89,39.77,88,92,7.18
davila,ph,18.47,120.58,86.0,66,75,6.93
mezen,ru,65.85,44.24,40.94,99,92,6.96
cape town,za,-33.93,18.42,55.4,93,40,4.7
husavik,is,50.56,-96.99,29.96,92,68,4.16
cherskiy,ru,68.75,161.3,46.25,67,0,11.21
yumen,cn,40.29,97.04,61.19,33,0,13.67
sidi ali,dz,36.1,0.42,51.47,88,0,2.59
tucuman,ar,-17.17,-70.89,48.41,76,0,0.02
faanui,pf,-16.48,-151.75,75.77,100,44,12.44
qaanaaq,gl,77.48,-69.36,11.06,100,0,10.2
galesong,id,-5.32,119.37,93.2,41,20,11.41
boali,cf,4.81,18.11,68.0,100,90,3.71
okmulgee,us,35.62,-95.96,70.52,100,1,6.93
hirara,jp,24.8,125.28,83.32,54,40,12.75
cuenca,es,40.07,-2.13,42.83,66,12,4.83
udachnyy,ru,66.42,112.4,40.85,66,76,5.5
te anau,nz,-45.41,167.72,49.76,97,64,1.92
lavrentiya,ru,65.58,-170.99,47.15,88,88,17.02
puerto ayora,ec,-0.74,-90.35,69.65,100,76,9.19
hovd,mn,63.83,10.7,43.74,81,75,14.99
iisalmi,fi,63.56,27.19,41.0,93,20,8.05
mubi,ng,10.27,13.26,69.29,91,8,3.15
shumskiy,ru,54.83,99.13,58.58,49,0,3.04
quang ngai,vn,15.12,108.8,77.84,88,92,3.04
coos bay,us,43.37,-124.22,59.49,83,90,5.82
bud,no,62.91,6.91,42.84,93,75,4.7
chipata,zm,-13.64,32.65,64.79,71,0,16.46
boueni,yt,-12.9,45.08,75.2,83,75,10.29
hofn,is,64.25,-15.21,41.21,100,76,11.99
mathbaria,bd,22.29,89.96,91.88,82,8,3.94
hornepayne,ca,49.22,-84.78,29.15,97,8,4.94
shelburne,ca,44.08,-80.2,48.18,93,90,6.93
majene,id,-3.54,118.97,87.38,82,12,13.44
oskemen,kz,49.96,82.61,66.2,48,40,2.24
kurilsk,ru,45.23,147.88,57.5,100,92,17.81
garowe,so,8.41,48.48,78.11,71,92,5.61
voskevan,am,41.12,45.07,62.6,82,90,2.24
mirzapur,bd,25.15,82.57,91.43,70,0,4.61
east london,za,-33.02,27.91,82.4,30,0,9.17
enumclaw,us,47.2,-121.99,59.52,87,90,1.92
tengzhou,cn,35.11,117.16,72.35,44,0,10.76
novobureyskiy,ru,49.8,129.88,57.95,43,0,9.64
orel,ru,47.02,29.78,37.4,93,12,8.41
sao joao do paraiso,br,-15.31,-42.01,63.26,86,0,7.52
shimoda,jp,34.7,138.93,80.6,61,75,24.16
sao felix do xingu,br,-6.64,-51.99,75.05,91,20,0.36
axim,gh,4.87,-2.24,78.02,99,56,11.21
imphal,in,24.8,93.94,78.8,78,75,1.81
kavaratti,in,10.57,72.64,81.53,100,68,5.73
anloga,gh,5.79,0.9,78.8,88,40,4.7
itaunja,in,27.08,80.92,86.0,66,0,4.7
komsomolskiy,ru,67.55,63.78,32.57,97,44,12.88
lourdes,fr,13.73,-89.37,77.07,94,20,8.05
bichena,et,10.45,38.2,69.02,51,0,1.7
anadyr,ru,64.73,177.51,48.2,93,90,22.37
cabra,ph,37.47,-4.43,61.61,82,0,3.36
hargeysa,so,9.56,44.06,64.4,88,20,3.36
esperance,au,10.24,-61.45,77.0,100,40,5.95
puerto leguizamo,co,-0.19,-74.78,76.67,94,8,1.92
akropong,gh,5.97,-0.09,72.08,95,12,5.17
faya,td,18.39,42.45,63.52,29,0,4.27
talnakh,ru,69.49,88.39,38.96,100,92,7.63
wattegama,lk,7.35,80.68,80.54,84,68,4.16
manokwari,id,-0.87,134.08,82.7,100,20,8.19
hithadhoo,mv,-0.6,73.08,84.05,100,76,16.35
sobolevo,ru,54.43,31.9,42.47,84,0,11.99
namtsy,ru,62.72,129.66,42.02,55,0,3.49
gornyy,ru,51.76,48.54,47.78,71,0,4.61
banda aceh,id,5.56,95.32,79.46,97,48,2.48
bontang,id,0.12,117.47,83.87,99,8,4.72
xunchang,cn,28.45,104.71,59.48,99,92,2.71
macamic,ca,48.75,-79.0,41.0,86,75,10.29
jatibarang,id,-6.47,108.3,92.33,46,24,7.07
santa cruz,cr,36.97,-122.03,64.18,77,1,2.37
margate,za,-43.03,147.26,64.4,34,75,14.99
kupino,ru,54.36,77.31,60.38,63,44,13.44
sukumo,jp,32.94,132.72,71.45,74,80,9.98
saint-ambroise,ca,47.25,-0.65,46.4,87,0,2.24
salinas,ec,36.67,-121.66,62.15,77,1,2.71
dalaba,gn,10.69,-12.25,68.57,97,76,4.83
bereda,so,43.27,-7.54,59.0,72,75,4.7
los llanos de aridane,es,28.66,-17.92,71.6,68,24,8.05
nouadhibou,mr,20.93,-17.03,69.8,88,0,10.29
mahibadhoo,mv,3.78,72.97,80.9,100,92,17.47
kutum,sd,14.2,24.66,82.16,36,44,8.63
katangli,ru,51.71,143.23,47.87,92,68,8.63
turukhansk,ru,65.8,87.96,41.93,98,68,12.21
yanam,in,16.73,82.22,90.71,66,0,4.38
leshukonskoye,ru,64.9,45.76,41.03,99,92,4.94
makakilo city,us,21.35,-158.09,80.33,69,75,9.17
harper,lr,30.3,-99.24,71.46,83,1,3.36
maunabo,us,18.01,-65.9,80.06,90,1,3.36
mana,gf,43.52,20.24,39.2,100,0,1.12
veraval,in,49.65,0.71,50.02,76,20,9.17
fasa,ir,28.94,53.65,64.4,34,0,4.7
chernyshevskiy,ru,63.01,112.47,40.49,99,92,6.29
masindi,ug,1.69,31.72,69.47,96,36,7.74
ancud,cl,-41.87,-73.83,39.05,81,68,6.29
nalut,ly,31.86,10.98,52.01,77,0,2.71
mehamn,no,71.03,27.85,42.8,70,75,16.11
adrar,dz,27.87,-0.29,73.4,31,0,8.05
puli,tw,23.97,120.97,87.8,35,40,9.17
martapura,id,-3.41,114.85,96.8,44,40,3.36
ponta do sol,cv,-20.63,-46.0,62.09,97,64,2.59
mailsi,pk,29.8,72.18,93.68,44,0,4.61
springbok,za,-29.67,17.88,55.7,41,32,2.71
tuzha,ru,28.58,109.69,72.44,48,48,3.49
kandrian,pg,-6.21,149.55,81.98,81,24,4.38
cayenne,gf,4.94,-52.33,71.6,100,0,7.85
swan hill,au,-35.34,143.56,73.97,35,36,8.41
dukat,ru,42.44,22.31,47.78,86,68,2.59
banjar,id,-7.37,108.54,89.0,51,80,4.61
kerman,ir,30.29,57.06,68.0,10,0,4.7
bezhta,ru,42.13,46.13,57.14,64,8,1.36
kloulklubed,pw,7.04,134.26,86.0,74,75,10.29
issoudun,fr,46.95,1.99,50.58,76,0,8.05
inta,ru,66.04,60.13,35.0,86,44,5.95
florianopolis,br,-27.6,-48.55,73.4,94,75,10.29
yerbogachen,ru,61.28,108.01,44.45,87,88,10.76
talaya,ru,55.79,84.89,61.73,48,36,10.65
boralday,kz,43.36,76.86,71.6,35,75,2.24
jamestown,sh,-33.21,138.6,73.88,19,88,11.1
mayumba,ga,-3.44,10.65,75.05,99,92,5.95
recodo,ph,13.03,121.49,79.82,100,32,1.59
rudnya,ru,50.8,44.56,45.26,70,0,4.5
dalbandin,pk,28.9,64.41,86.93,12,0,4.27
port moresby,pg,-9.47,147.16,78.8,88,90,22.5
skjervoy,no,70.03,20.97,33.8,100,75,4.7
bilibino,ru,68.06,166.44,41.93,73,0,8.08
belaya gora,ru,68.54,146.19,33.11,95,92,13.11
port augusta,au,-32.49,137.76,75.2,22,68,10.29
una,in,-15.29,-39.07,75.68,100,92,6.4
tiruchchendur,in,8.48,78.12,84.95,87,44,4.27
vila franca do campo,pt,37.72,-25.43,69.8,73,20,8.05
chumikan,ru,54.72,135.31,48.68,62,68,7.18
buchanan,lr,5.88,-10.05,75.5,100,92,7.4
topolobampo,mx,25.6,-109.05,80.72,89,24,3.71
saint-francois,gp,46.42,3.91,51.8,62,75,9.17
saint-pierre,re,48.95,4.24,48.2,81,0,8.05
goderich,sl,43.74,-81.71,49.76,100,100,12.55
kysyl-syr,ru,63.9,122.77,40.31,100,92,3.6
port blair,in,11.67,92.75,84.95,100,12,2.71
itatskiy,ru,56.07,89.04,62.0,54,32,7.07
amapa,br,15.09,-87.97,78.8,83,20,4.7
gizo,sb,31.8,34.94,79.12,83,75,3.36
narsaq,gl,60.91,-46.05,37.4,74,0,9.17
port hardy,ca,50.7,-127.42,48.2,100,90,10.29
usinsk,ru,66.0,57.56,32.75,97,20,10.2
tall kayf,iq,37.08,41.07,77.39,34,64,6.17
naze,jp,5.43,7.07,75.2,100,75,4.16
alice springs,au,-23.7,133.88,95.0,9,0,17.22
mollendo,pe,-17.03,-72.02,46.88,91,0,2.48
acapulco,mx,16.86,-99.88,82.4,83,75,3.6
jiangyou,cn,31.78,104.73,72.35,47,80,5.06
petropavlovsk-kamchatskiy,ru,53.05,158.65,55.4,71,75,6.71
koster,za,-25.86,26.9,59.93,60,0,4.38
makubetsu,jp,42.84,143.34,71.6,68,40,6.93
chalmette,us,29.94,-89.96,77.77,87,75,7.74
zaraza,ve,9.35,-65.33,77.57,87,0,6.06
wunsiedel,de,50.04,12.0,39.2,88,75,2.24
vanavara,ru,60.35,102.28,46.97,63,68,8.75
vung tau,vn,10.35,107.08,89.6,70,40,2.24
raudeberg,no,61.99,5.14,41.59,87,75,6.93
comodoro rivadavia,ar,-45.87,-67.48,35.6,74,40,2.24
taltal,cl,-25.41,-70.49,50.75,91,0,1.81
dunmore east,ie,52.15,-6.99,43.55,100,12,8.52
ulladulla,au,-35.36,150.48,69.8,49,0,17.22
bozovici,ro,44.93,22.0,57.2,58,0,21.92
sabha,ly,27.03,14.43,68.93,46,12,7.96
ciudad bolivar,ve,8.12,-63.55,81.17,72,0,10.65
mujiayingzi,cn,42.12,118.78,56.6,48,0,12.66
luderitz,na,-26.65,15.16,58.85,81,0,5.95
yamada,jp,36.58,137.08,72.34,46,40,23.04
enkoping,se,59.64,17.08,45.5,87,80,6.93
